Area_lag0	Circularity_lag0	ClassN2_lag0	Correlation_lag0	Energy_lag0	EqDiameter_lag0	Grey1.0_lag0	Grey2.0_lag0	Grey2.1_lag0	Growth1.0_lag0	Growth2.0_lag0	Growth2.1_lag0	Homogeneity_lag0	MeanGreyValue_lag0	Perimeter_lag0	Solidity_lag0	Area_lag+1	Circularity_lag+1	ClassN2_lag+1	Correlation_lag+1	Energy_lag+1	EqDiameter_lag+1	Grey1.0_lag+1	Grey2.0_lag+1	Grey2.1_lag+1	Growth1.0_lag+1	Growth2.0_lag+1	Growth2.1_lag+1	Homogeneity_lag+1	MeanGreyValue_lag+1	Perimeter_lag+1	Solidity_lag+1	Area_lag+2	Circularity_lag+2	ClassN2_lag+2	Correlation_lag+2	Energy_lag+2	EqDiameter_lag+2	Grey1.0_lag+2	Grey2.0_lag+2	Grey2.1_lag+2	Growth1.0_lag+2	Growth2.0_lag+2	Growth2.1_lag+2	Homogeneity_lag+2	MeanGreyValue_lag+2	Perimeter_lag+2	Solidity_lag+2
13794.6248	0.759281859	NA	0.919098692	0.937361896	132.528720668	NA	NA	NA	NA	NA	NA	0.975974269	620.7589053	477.81344529	0.946409041	19108.4248	0.601067782	NA	0.917434666	0.913451737	155.979492526	24.0043521	NA	NA	5313.8	NA	NA	0.969985942	644.7632574	632.056135	0.874088478	19262.525	0.643569361	1	0.874477205	0.912928743	156.6071791526	NA	429.7331547	405.7288026	NA	5467.9002	154.100200000001	0.969861076	1050.49206	613.287142052	0.898166501
22238.253	0.490912114	NA	0.923450513	0.899072721	168.2694955242	NA	NA	NA	NA	NA	NA	0.951504928	374.2134842	754.48983111	0.824793063	19948.0052	0.390778038	NA	0.862354854	0.908342494	159.369347943	817.5442048	NA	NA	-2290.2478	NA	NA	0.964304563	1191.757689	800.920839792	0.784863057	23688.9204	0.655532328	1	0.900016746	0.893901323	173.6711554256	NA	778.6673598	-38.876845	NA	1450.6674	3740.9152	0.965456742	1152.880844	673.876806694	0.9184178
18943.697	0.660715354	NA	0.921597822	0.914133983	155.3057118792	NA	NA	NA	NA	NA	NA	0.964463901	495.4903111	600.247143356	0.912932138	20925.7444	0.475875114	NA	0.88043295	0.904403791	163.2283225108	371.7797693	NA	NA	1982.0474	NA	NA	0.955163291	867.2700804	743.359495426	0.808458222	22870.5952	0.42740649	1	0.895262096	0.895919254	170.6450884616	NA	641.6203689	269.8405996	NA	3926.8982	1944.8508	0.957929895	1137.11068	820.017478714	0.786981167
19997.3918597693	0.4411763595	NA	0.917199384	0.940837278	159.566506847396	NA	NA	NA	NA	NA	NA	0.977216777	449.53770385	1288.610250354	0.7746730655	22100.0942	0.635308983	NA	0.896003295	0.900499894	167.745980209	623.88549615	NA	NA	2102.7023402307	NA	NA	0.964452432	1073.4232	661.16445332	0.901387083	22875.909	0.605854822	1	0.870239419	0.89715365	170.664911348	NA	750.52717315	126.641677	NA	2878.5171402307	775.8148	0.965072804	1200.064877	688.826469706	0.884892086
21388.045	0.30903895	NA	0.905293425	0.901241986	165.0215279234	NA	NA	NA	NA	NA	NA	0.946074569	465.8537131	932.575210204	0.745646536	19602.6082	0.653534346	NA	0.943557529	0.911902932	157.9835938912	77.5647332	NA	NA	-1785.4368	NA	NA	0.96928807	543.4184463	613.942436608	0.915611814	24209.6728	0.507333284	0	0.922979999	0.890225923	175.5696806802	NA	-8.73930100000001	-86.3040342	NA	2821.6278	4607.0646	0.957645261	457.1144121	774.37747904	0.860596902
19650.4324	0.547405962	NA	0.919380139	0.911068042	158.1761916594	NA	NA	NA	NA	NA	NA	0.966731273	596.8091342	671.639494774	0.85050598	17524.9124	0.722136426	NA	0.880037143	0.920806526	149.376743457	532.4702118	NA	NA	-2125.52	NA	NA	0.97356413	1129.279346	552.234116984	0.930324401	26930.3384	0.257343059	1	0.901091719	0.875834351	185.1722760116	NA	362.6754125	-169.7947993	NA	7279.906	9405.426	0.956751768	959.4845467	1146.75226837	0.622680919
12880.6512	0.643184296	NA	0.917137587	0.940621602	128.0630878428	NA	NA	NA	NA	NA	NA	0.978292112	540.2651593	501.656133044	0.880813953	14511.9878	0.628021405	NA	0.888241326	0.933624254	135.9309999124	181.1010175	NA	NA	1631.3366	NA	NA	0.970045156	721.3661768	538.866470358	0.876725522	17721.523	0.54667765	1	0.887610031	0.919321281	150.2123293138	NA	638.2529697	457.1519522	NA	4840.8718	3209.5352	0.966382362	1178.518129	638.24848707	0.84089763
21374.8542197428	0.4571030025	NA	0.9113864435	0.937434693	164.970632709339	NA	NA	NA	NA	NA	NA	0.97458009	459.32887565	1262.202604054	0.771724925	23529.5064	0.595078253	NA	0.913187545	0.893946605	173.085811146	368.96098115	NA	NA	2154.65218025722	NA	NA	0.969023504	828.2898568	704.894789982	0.892561983	20043.6536	0.564440404	1	0.884166874	0.908840841	159.7509699	NA	657.46502935	288.5040482	NA	-1331.20061974278	-3485.8528	0.971583726	1116.793905	668.012100598	0.867325822
15835.124	0.668191514	NA	0.900092892	0.927796633	141.99262683	NA	NA	NA	NA	NA	NA	0.964257649	602.3969282	545.714116332	0.898131404	18252.903	0.735545965	NA	0.897292838	0.917470546	152.4477546718	37.3880895999999	NA	NA	2417.779	NA	NA	0.962489936	639.7850178	558.426470358	0.927125506	26165.1512	0.360044673	0	0.90379869	0.880270812	182.5226155914	NA	-8.70870350000007	-46.0967931	NA	10330.0272	7912.2482	0.942464322	593.6882247	955.626889276	0.730997625
17227.3396	0.533528025	NA	0.932314628	0.921742365	148.1031060864	NA	NA	NA	NA	NA	NA	0.969127293	564.2454307	636.994116332	0.874797625	14278.1806	0.562170609	NA	0.877357624	0.934455094	134.8315399408	547.3393573	NA	NA	-2949.159	NA	NA	0.97664453	1111.584788	564.946469706	0.839949984	24927.0358	0.303601637	1	0.907442112	0.885083049	178.1518669896	NA	314.5951122	-232.7442451	NA	7699.6962	10648.8552	0.957818828	878.8405429	1015.75319284	0.742481798
