x	y	type	ai	raw_contributions	contributions	info	info_cond	cplx	Nxy_ai	info_shifted	infOrt	trueOrt	isOrtOk	sign	partial_correlation	is_causal	proba	confidence
ClassN2_lag+2	Correlation_lag+2	N	MeanGreyValue_lag+2	1.000000	1.000000	120.350518	0	0	462	0	0	NA	NA		0	NA	-1;-1	NA
Grey1.0_lag+1	MeanGreyValue_lag+2	N	ClassN2_lag+2	1.000000	1.000000	114.654201	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Perimeter_lag+2	Solidity_lag+2	N	Circularity_lag+2	1.000000	1.000000	180.758474	0	0	462	0	0	NA	NA		0	NA	-1;-1	NA
Homogeneity_lag+2	Perimeter_lag+2	N	Energy_lag+2	1.000000	1.000000	155.186288	0	0	462	0	0	NA	NA		0	NA	-1;-1	NA
Correlation_lag+2	MeanGreyValue_lag+1	N	MeanGreyValue_lag+2	1.000000	1.000000	107.376664	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Correlation_lag+2	Grey1.0_lag+1	N	Grey2.0_lag+2	1.000000	1.000000	90.358285	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Grey2.0_lag+2	MeanGreyValue_lag+1	N	ClassN2_lag+2	1.000000	1.000000	133.785835	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
ClassN2_lag+2	Correlation_lag+1	N	MeanGreyValue_lag+1	1.000000	1.000000	119.35707	0	0	464	0	0	NA	NA		0	NA	-1;-1	NA
Homogeneity_lag+1	Perimeter_lag+1	N	Energy_lag+1	1.000000	1.000000	152.380734	0	0	464	0	0	NA	NA		0	NA	-1;-1	NA
Correlation_lag+1	Grey2.0_lag+2	N	Grey1.0_lag+1	1.000000	1.000000	74.266757	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Perimeter_lag+1	Solidity_lag+1	N	Circularity_lag+1	1.000000	1.000000	221.920992	0	0	464	0	0	NA	NA		0	NA	-1;-1	NA
Growth1.0_lag+1	Homogeneity_lag+1	N	EqDiameter_lag+1	1.000000	1.000000	84.76116	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+2	Homogeneity_lag+1	N	EqDiameter_lag+1	1.000000	1.000000	68.262173	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag+2	Homogeneity_lag+1	N	EqDiameter_lag+1	1.000000	1.000000	67.917714	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+2	Homogeneity_lag+1	N	EqDiameter_lag+1	1.000000	1.000000	67.917714	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Circularity_lag+1	Growth1.0_lag+1	N	Perimeter_lag+1	1.000000	1.000000	60.852111	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Correlation_lag+1	Grey1.0_lag+1	N	MeanGreyValue_lag+1	1.000000	1.000000	148.300645	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Perimeter_lag+1	Perimeter_lag+2	N	EqDiameter_lag+1	1.000000	1.000000	67.663061	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag+1	Growth2.0_lag+2	N	EqDiameter_lag+2	1.000000	1.000000	61.490584	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+1	Growth2.0_lag+2	N	EqDiameter_lag+2	1.000000	1.000000	61.490584	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+1	Energy_lag0	N	EqDiameter_lag0	1.000000	1.000000	39.914777	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag0	EqDiameter_lag+1	N	EqDiameter_lag0	1.000000	1.000000	39.914777	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Perimeter_lag0	Solidity_lag0	N	Circularity_lag0	1.000000	1.000000	226.134939	0	0	480	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+1	Growth2.0_lag+2	N	EqDiameter_lag+2	1.000000	1.000000	51.487508	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+1	Homogeneity_lag+2	N	Energy_lag+2	1.000000	1.000000	57.096736	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Growth1.0_lag+1	Perimeter_lag0	N	Circularity_lag0	1.000000	1.000000	53.436634	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag+1	Homogeneity_lag+2	N	EqDiameter_lag+2	1.000000	1.000000	48.901722	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+1	Homogeneity_lag+2	N	EqDiameter_lag+2	1.000000	1.000000	48.901722	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag0	Perimeter_lag+2	N	EqDiameter_lag+1	0.988195	1.000000	37.878462	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag0	Perimeter_lag+2	N	EqDiameter_lag+1	0.988195	1.000000	37.878462	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+1	Energy_lag0	N	EqDiameter_lag0	1.000000	1.000000	43.857636	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
ClassN2_lag+2	Grey1.0_lag+1	N	MeanGreyValue_lag+1	1.000000	1.000000	175.381172	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Correlation_lag+2	Grey2.0_lag+2	N	MeanGreyValue_lag+2	1.000000	1.000000	211.978318	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
Circularity_lag0	Growth2.0_lag+2	N	Growth1.0_lag+1	0.985716	1.000000	63.618199	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Growth2.1_lag+2	Solidity_lag+1	N	Perimeter_lag+1	1.000000	1.000000	41.628977	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag0	Solidity_lag0	N	Circularity_lag0	1.000000	1.000000	48.097674	0	0	480	0	0	NA	NA		0	NA	-1;-1	NA
Growth1.0_lag+1	Solidity_lag+1	N	Perimeter_lag+1	1.000000	1.000000	44.008923	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+2	EqDiameter_lag0	N	EqDiameter_lag+1	0.815973	1.000000	87.716974	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag0	Energy_lag+2	N	EqDiameter_lag+1	0.815973	1.000000	87.716974	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Growth2.0_lag+2	Perimeter_lag+1	N	Energy_lag+2	1.000000	1.000000	43.128555	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+2	Homogeneity_lag+2	N	Energy_lag+2	1.000000	1.000000	209.660289	0	0	462	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag+2	Homogeneity_lag+2	N	Energy_lag+2	1.000000	1.000000	209.660289	0	0	462	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag0	Growth1.0_lag+1	N	Circularity_lag0	1.000000	1.000000	45.240548	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag0	Growth1.0_lag+1	N	Circularity_lag0	1.000000	1.000000	45.240548	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag0	Growth1.0_lag+1	N	Circularity_lag0	1.000000	1.000000	51.374396	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag+1	Growth2.1_lag+2	N	Perimeter_lag+1	1.000000	1.000000	47.540328	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+1	Growth2.1_lag+2	N	Perimeter_lag+1	1.000000	1.000000	47.540328	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Growth2.1_lag+2	Perimeter_lag+2	N	Energy_lag+2	1.000000	1.000000	132.707127	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+2	Energy_lag0	N	EqDiameter_lag0	1.000000	1.000000	42.000401	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag0	Perimeter_lag+1	N	Energy_lag+1	1.000000	1.000000	28.867279	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag0	Perimeter_lag+1	N	Energy_lag+1	1.000000	1.000000	28.867279	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Growth2.1_lag+2	Homogeneity_lag+1	N	Perimeter_lag+1	1.000000	1.000000	61.66116	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Homogeneity_lag+2	Perimeter_lag+1	N	Energy_lag+2	1.000000	1.000000	33.438443	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+1	Perimeter_lag0	N	EqDiameter_lag0	1.000000	1.000000	28.295205	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Grey2.0_lag+2	Grey2.1_lag+2	N	MeanGreyValue_lag+2	1.000000	1.000000	63.503375	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Circularity_lag+1	EqDiameter_lag+1	N	Growth1.0_lag+1	1.201551	1.000000	32.579851	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+1	Circularity_lag+1	N	Growth1.0_lag+1	1.201551	1.000000	32.579851	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+2	Energy_lag0	N	EqDiameter_lag0	1.000000	1.000000	50.812285	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag0	EqDiameter_lag+2	N	EqDiameter_lag0	1.000000	1.000000	50.812285	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
Grey1.0_lag+1	Solidity_lag+2	N	ClassN2_lag+2	1.000000	1.000000	32.856858	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Growth1.0_lag+1	Homogeneity_lag0	N	Circularity_lag0	1.000000	1.000000	49.090608	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Correlation_lag+1	Solidity_lag+2	N	ClassN2_lag+2	1.000000	1.000000	35.273083	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Growth2.0_lag+2	Perimeter_lag0	N	Growth1.0_lag+1	1.710607	1.000000	32.74172	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Circularity_lag+2	Grey1.0_lag+1	N	ClassN2_lag+2	1.000000	1.000000	38.856352	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag+2	Growth1.0_lag+1	N	EqDiameter_lag+1	1.000000	1.000000	28.312631	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+2	Growth1.0_lag+1	N	EqDiameter_lag+1	1.000000	1.000000	28.312631	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+2	Homogeneity_lag0	N	Energy_lag0	1.000000	1.000000	25.338021	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag+2	Homogeneity_lag0	N	Energy_lag0	1.000000	1.000000	25.338021	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
Homogeneity_lag+1	Perimeter_lag+2	N	Energy_lag+2	1.000000	1.000000	27.730612	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag0	Perimeter_lag+2	N	EqDiameter_lag+2	1.000000	1.000000	31.197149	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
Circularity_lag+2	MeanGreyValue_lag+1	N	ClassN2_lag+2	1.000000	1.000000	38.543197	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+1	Energy_lag+2	N	EqDiameter_lag+2	1.000000	1.000000	170.515059	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Circularity_lag+1	Homogeneity_lag+1	N	Growth1.0_lag+1	0.944638	1.000000	48.265454	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Growth1.0_lag+1	Solidity_lag0	N	Circularity_lag0	1.000000	1.000000	74.574814	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
ClassN2_lag+2	Perimeter_lag+2	N	Solidity_lag+2	1.000000	1.000000	25.230221	0	0	462	0	0	NA	NA		0	NA	-1;-1	NA
Growth1.0_lag+1	Growth2.1_lag+2	N	Perimeter_lag+1	1.000000	1.000000	28.299737	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Circularity_lag+2	Growth2.1_lag+2	N	Perimeter_lag+2,Correlation_lag+2	0.303467,0.696533	0.303467,1.000000	42.990648	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+2	Growth1.0_lag+1	N	Growth2.0_lag+2	1.000000	1.000000	28.116846	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Growth2.1_lag+2	Solidity_lag+2	N	Circularity_lag+2	1.000000	1.000000	31.023619	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Growth2.0_lag+2	Homogeneity_lag+1	N	Energy_lag+2	1.000000	1.000000	32.31611	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Circularity_lag+2	Correlation_lag+1	N	ClassN2_lag+2	1.000000	1.000000	35.303783	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+2	Homogeneity_lag0	N	Energy_lag0	1.000000	1.000000	24.74007	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag0	Perimeter_lag+1	N	Energy_lag+1	1.000000	1.000000	21.94387	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
