,spheroid ID,Experiment ID,drug concentration (uM),spheroIndex,Area (um2)_day0,Area (um2)_day1,Area (um2)_day2,Mean grey value_day0,Mean grey value_day1,Mean grey value_day2,Homogeneity_day0,Homogeneity_day1,Homogeneity_day2,Energy_day0,Energy_day1,Energy_day2,Correlation_day0,Correlation_day1,Correlation_day2,Solidity_day0,Solidity_day1,Solidity_day2,Circularity_day0,Circularity_day1,Circularity_day2,Equivalent Diameter (um)_day0,Equivalent Diameter (um)_day1,Equivalent Diameter (um)_day2,Perimeter (um)_day0,Perimeter (um)_day1,Perimeter (um)_day2,Growth1-0,Growth2-0,Growth2-1,Grey1-0,Grey2-0,Grey2-1,DCorrelation_1-0,DCorrelation_2-0,DCorrelation_2-1,viability score,2 classes,2 classes encoded,3 classes,3 classes encoded
409,"(2406_A, 12, 0.1)",2406,0.1,12,16525.917999999998,17232.6534,19560.0978,665.7114115,425.2221108,362.4245032,0.96658936,0.978258931,0.966867543,0.924256547,0.922426607,0.912195907,0.910367941,0.929340598,0.935424455,0.847873501,0.937283237,0.944572748,0.520912942,0.745761048,0.761579504,145.05672100939998,148.1259456464,157.8121985762,631.400839466,538.8664693799999,568.110503782,706.7354000000014,3034.1798000000017,2327.4444000000003,-240.48930070000006,-303.28690830000005,-62.79760759999999,0.01897265700000006,0.025056514000000085,0.006083857000000026,95.45528411,alive,0,alive,0
410,"(2406_A, 13, 0.1)",2406,0.1,13,17190.143,17742.778199999997,19512.2736,495.4167091,351.9792423,491.3558267,0.967434955,0.974990871,0.971114778,0.921855181,0.918532866,0.912314266,0.935566436,0.92762628,0.926455299,0.870091447,0.86569873,0.939370683,0.554619506,0.469275352,0.715755074,147.9431304536,150.30238466219998,157.61915604619998,624.089832088,689.289831436,585.297478062,552.635199999997,2322.1306000000004,1769.4954000000034,-143.43746679999998,-4.060882399999969,139.3765844,-0.007940155999999976,-0.009111136999999991,-0.0011709810000000154,97.06408104,alive,0,alive,0
411,"(2406_A, 15, 0.1)",2406,0.1,15,15324.999199999998,16329.3074,20091.477799999997,399.9972715,484.7106789,476.8655397,0.969645735,0.971628979,0.967492629,0.93002766,0.92614867,0.909855258,0.928742117,0.927552985,0.927062764,0.876595745,0.936890244,0.939612326,0.591332743,0.749834389,0.747557342,139.68677461619998,144.1912615884,159.9414394424,570.67546135,523.1257970339999,581.150502152,1004.3082000000013,4766.478599999999,3762.1703999999972,84.7134074,76.86826819999999,-7.8451392000000055,-0.0011891319999999261,-0.0016793529999999945,-0.0004902210000000684,91.46308434,alive,0,alive,0
412,"(2406_A, 16, 0.1)",2406,0.1,16,16037.0484,16148.6382,18327.296199999997,437.7385549,527.2811588,537.36806,0.967594253,0.970171071,0.967837194,0.925390568,0.926349682,0.917667434,0.908264329,0.916379407,0.923351704,0.800106045,0.900177725,0.947527473,0.433893234,0.613166563,0.789850084,142.89508108959998,143.3913691456,152.7581037704,681.5154610239999,575.285797686,539.9851256659999,111.58979999999974,2290.2477999999974,2178.6579999999976,89.54260389999996,99.62950510000002,10.086901200000057,0.008115077999999998,0.015087375000000014,0.006972297000000016,72.21710633,alive,0,middle,2
413,"(2406_A, 17, 0.1)",2406,0.1,17,12614.9612,15659.7686,17211.3982,615.0046792,444.4303976,505.0475379,0.97286093,0.964989011,0.962730417,0.94239169,0.928817037,0.922401843,0.908809772,0.911509427,0.912832307,0.946570973,0.923245614,0.943764569,0.784591976,0.708703247,0.755512963,126.73542304639999,141.20423732979998,148.034566249,449.49613369599996,526.945125014,535.0471414,3044.8073999999997,4596.437,1551.6296000000002,-170.57428160000006,-109.95714130000005,60.61714030000002,0.002699655000000023,0.004022534999999938,0.0013228799999999152,76.50723146,alive,0,alive,0
414,"(2406_A, 18, 0.1)",2406,0.1,18,12854.082199999999,14634.205199999999,18141.3132,561.8495021,515.5227214,450.1881333,0.973093104,0.969113668,0.962290624,0.941324968,0.93386699,0.918120935,0.922180369,0.916858427,0.917518513,0.918723889,0.977288857,0.93713972,0.721366149,0.869709245,0.739043031,127.93094139559999,136.50219328179998,151.9810427702,473.20310895399996,459.835460372,555.398150734,1780.1229999999996,5287.231000000002,3507.108000000002,-46.32678069999997,-111.66136879999999,-65.33458810000002,-0.005321942000000024,-0.00466185600000002,0.0006600860000000042,99.86457938,alive,0,alive,0
415,"(2406_A, 19, 0.1)",2406,0.1,19,11807.263599999998,17259.2224,17402.695,537.2738891,553.909274,578.6007137,0.975976826,0.964022195,0.963775323,0.946018068,0.921255379,0.920858905,0.920902529,0.912849635,0.907735041,0.94593444,0.869379015,0.909722222,0.767051946,0.573063759,0.672274765,122.6110717972,148.2400906344,148.85496115779998,439.81209994599993,615.1968063679999,570.347814398,5451.9588,5595.431400000001,143.47260000000097,16.635384899999963,41.32682460000001,24.691439700000046,-0.008052893999999977,-0.013167488000000005,-0.005114594000000028,95.2765289,alive,0,alive,0
416,"(2406_A, 20, 0.1)",2406,0.1,20,12306.7608,14480.105,18731.145,586.4748734,591.720826,341.5730918,0.973032615,0.970987069,0.96931154,0.943417248,0.934095663,0.914854081,0.914326629,0.919138131,0.935669983,0.919412465,0.930669399,0.837690114,0.724323986,0.752799439,0.535145991,125.17769176959999,135.7815977962,154.431973786,462.07277196599995,491.64445364599993,663.209833066,2173.3441999999995,6424.3842,4251.040000000001,5.24595260000001,-244.9017816,-250.1477342,0.004811502000000023,0.021343354000000092,0.01653185200000007,82.28698337,alive,0,alive,0
417,"(2406_A, 1, 1.0)",2406,1.0,1,17843.7404,,,679.7270103,,,0.960015257,,,0.919307885,,,0.895174465,,,0.949123799,,,0.762295608,,,150.7294128772,,,542.358150734,,,,,,,,,,,,95.75320947,alive,0,alive,0
418,"(2406_A, 2, 1.0)",2406,1.0,2,19448.507999999998,19655.746199999998,22679.2984,543.1579701,576.5382383,803.592682,0.950177256,0.953667678,0.950794252,0.91101597,0.911064693,0.897824556,0.894719217,0.905507766,0.897933931,0.833712984,0.913107875,0.913331907,0.539980674,0.674408305,0.652605955,157.3613976588,158.19757693339997,169.9299254726,672.758151386,605.18512534,660.8368060419999,207.23819999999978,3230.7904000000017,3023.552200000002,33.380268200000046,260.4347119,227.05444369999998,0.010788549000000036,0.003214713999999952,-0.007573835000000084,81.33362223,alive,0,alive,0
