Experiment ID,spheroid ID,day,drug concentration (uM),spheroIndex,multiple,Area (pix2),Perimeter (pix),Solidity,Equivalent Diameter (pix),Circularity,Mean grey value,Homogeneity,Energy,Correlation,viability score
1803,"(1803, 19, 2.0)",0,2.0,19,False,1183.0,132.5685416,0.961397806,38.81033859,0.845889533,206.7884049,0.977697834,0.942786891,0.929177129,69.63814257
1803,"(1803, 20, 2.0)",0,2.0,20,False,1169.0,137.3969686,0.937074148,38.58000814,0.778162097,353.5121173,0.978660487,0.943276856,0.92593512,57.15173164
1803,"(1803, 1, 5.0)",0,5.0,1,False,1788.0,217.1959583,0.822636301,47.71322988,0.476292672,312.7691861,0.969224886,0.913068953,0.929491917,43.76455971
1803,"(1803, 2, 5.0)",0,5.0,2,False,2010.0,254.5096661,0.779674166,50.58864976,0.389939616,331.2516237,0.964490504,0.901950394,0.925673098,47.05699643
1803,"(1803, 7, 5.0)",0,5.0,7,False,1475.5,152.4680359,0.958116883,43.34356871,0.797611609,297.6524604,0.971594533,0.929152603,0.924566947,29.29026246
1803,"(1803, 8, 5.0)",0,5.0,8,False,1661.0,178.0243853,0.897352782,45.98750791,0.65859815,433.8983675,0.96878533,0.919742379,0.911801291,39.91302997
1803,"(1803, 9, 5.0)",0,5.0,9,False,1474.5,161.9827551,0.929697352,43.32887846,0.706182707,303.8340038,0.971734097,0.928460483,0.923076137,35.59558938
1803,"(1803, 10, 5.0)",0,5.0,10,False,1380.5,141.296463,0.976308345,41.92501868,0.868927804,316.9419176,0.975839198,0.933709202,0.927565589,29.7251126
1803,"(1803, 11, 5.0)",0,5.0,11,False,1685.0,165.8822496,0.94055261,46.31855603,0.769502325,278.9353527,0.971201174,0.919248234,0.935059179,24.33607703
1803,"(1803, 12, 5.0)",0,5.0,12,False,1609.5,170.1248901,0.91267366,45.2689634,0.698819685,363.9099432,0.96843499,0.922431823,0.917605243,43.64031682
1803,"(1803, 13, 5.0)",0,5.0,13,False,1243.5,141.2964636,0.955069124,39.79036785,0.782695918,317.1239904,0.976143707,0.939756985,0.918661613,27.768287
1803,"(1803, 14, 5.0)",0,5.0,14,False,1334.5,143.9827548,0.958692529,41.22060374,0.808923561,267.7841925,0.976086964,0.935714889,0.930566374,28.12548532
1803,"(1803, 15, 5.0)",0,5.0,15,True,1316.0,173.8822495,0.849032258,40.93388866,0.546959605,197.5942178,0.971578109,0.935833266,0.931499474,15.73225656
1803,"(1803, 15, 5.0)",0,5.0,15,True,545.5,89.84061956,0.964633068,26.35435774,0.849296125,430.4231781,0.988347641,0.972554964,0.889656224,15.73225656
1803,"(1803, 16, 5.0)",0,5.0,16,False,1198.5,138.8111817,0.944444444,39.06376319,0.781626005,292.9836353,0.976351474,0.941940936,0.922707674,28.12548532
1803,"(1803, 17, 5.0)",0,5.0,17,False,1161.5,141.6396089,0.925866879,38.45604934,0.727544632,321.6455961,0.976853409,0.943630042,0.920814236,35.22286069
1803,"(1803, 18, 5.0)",0,5.0,18,False,1273.5,194.6101713,0.769951632,40.26748763,0.422549647,258.9740239,0.972824284,0.936696713,0.909588463,22.00652275
1803,"(1803, 19, 5.0)",0,5.0,19,False,1250.5,154.4680362,0.909454545,39.90220609,0.658591786,234.0099093,0.97785755,0.938905977,0.929540486,23.09364808
1803,"(1803, 20, 5.0)",0,5.0,20,False,1344.0,174.2253954,0.86016,41.36706357,0.556398839,161.0544672,0.973677366,0.934193084,0.927113138,27.41108868
1803,"(1803, 3, 10.0)",0,10.0,3,False,2009.0,204.0243852,0.882495058,50.57606396,0.606492794,281.9199815,0.971000054,0.903756504,0.937692558,14.8625563
1803,"(1803, 8, 10.0)",0,10.0,8,False,1458.5,158.4680361,0.92164297,43.09315347,0.729848881,343.4697701,0.973524211,0.929744181,0.919917548,9.597763628
1803,"(1803, 11, 10.0)",0,10.0,11,False,1600.0,162.710677,0.943674432,45.13516668,0.759447475,261.6961321,0.969990904,0.923289368,0.930378869,11.25174717
1803,"(1803, 12, 10.0)",0,10.0,12,False,1443.0,159.0538228,0.921161826,42.86355868,0.716783455,417.2813752,0.975076169,0.930519576,0.923907778,7.035253921
1803,"(1803, 13, 10.0)",0,10.0,13,False,1341.0,139.0538229,0.979189485,41.32086918,0.871510805,285.4409566,0.97785586,0.935597418,0.933210356,7.718589843
1803,"(1803, 14, 10.0)",0,10.0,14,False,1319.5,143.9827551,0.961384335,40.98828588,0.799831124,295.6093739,0.97483837,0.936133584,0.923158734,11.09644355
1803,"(1803, 16, 10.0)",0,10.0,16,False,1310.0,141.3969684,0.961115187,40.84046772,0.823381232,402.343865,0.974774948,0.936731062,0.915670103,8.479577574
1803,"(1803, 17, 10.0)",0,10.0,17,False,1172.0,177.0538226,0.794307015,38.62948028,0.46981498,125.6463683,0.975239086,0.942229192,0.927646349,7.741885386
